"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826.308231894906,516.41993894646,807.568980820782,755.22990805452,795.884945761053,722.91246897388,676.751494257604,704.30450113149,611.026178201384,837.38321033462,775.946498110748,543.378769226927,667.737884232599,563.068149176684,793.892986188085,594.46622056794,800.573394371675,715.777903270316,541.004573489224,625.445020129464,830.236372915688,789.992612563091,752.211733922286,615.013208311374,815.858882855607,705.692822173888,597.165587144521,667.762953118855,682.60220047651,739.541380580602,669.104883578524,588.049216440159,739.536372941284,802.375485360444,700.975415006709,732.698222183589,796.482304184389,566.344887092684,838.035926977155,672.667567381469,711.856334401877,767.536576742006,584.937325754917,543.436026327704,753.326193305376,694.615098680733,554.920482915744,534.680259108266,834.576206807672,657.235475690139,688.478155482754,604.556687109632,793.120829231535,720.987783991144,740.49054400715,692.328430314476,740.404155941735,722.149772436007,531.499719883927,716.612943413973,515.348835997493,758.382659580838,556.214489910118,556.631804868134,646.318243504114,651.447530276473,694.623387909205,756.958374372577,797.719639472517,652.870788682915,601.84865781412,658.397320145992,718.806951296913,523.636330416854,690.031545662172,589.05416332127,669.893051259031,620.557922223404,728.640920147157,695.728939984789,708.078006254433,738.000061430961,804.244056853313,673.585006358683,524.600404688054,833.771234508122,610.19890442282,737.623572534006,812.427742853917,761.822603809476,535.892333992176,574.554474690175,796.822164247816,789.805191350361,811.050387929057,807.239691196837,746.519239100685,807.041605726243,815.618619291542,637.974301680683
1751.10098774559,1109.87562672955,1715.9513090028,1609.26813169482,1685.46481166989,1534.15343906638,1446.26770799343,1498.02805747975,1301.51767196023,1781.30370150455,1643.96332757076,1157.21132615899,1419.78911792626,1200.01646619151,1685.64337520922,1269.28328759418,1707.05780331269,1522.49505777392,1154.18462229025,1333.61389891422,1759.61844381599,1675.79468874749,1600.40958094783,1311.74316233048,1728.50554088981,1509.63923804501,1273.67364932511,1421.4051493707,1456.15666396562,1577.97834378866,1430.89599915071,1257.63836098022,1568.97728886153,1708.03312980692,1494.12896372191,1561.93381286003,1696.83120289922,1209.36677300849,1779.3454235525,1429.78232116876,1512.6068455937,1624.38537924391,1245.97217478701,1163.01778023036,1600.58035287771,1477.9275684231,1184.06443015973,1144.82401476339,1773.45579198223,1398.55985087612,1472.85391685802,1289.22612742666,1685.1006322644,1525.72913336279,1572.18086145302,1477.46100100884,1567.82567413883,1543.48611035942,1135.42237162375,1523.48010379392,1108.1818825813,1612.92364246172,1184.8674540063,1188.25434425493,1378.08997117306,1391.17020778264,1480.21427146996,1606.75043090777,1694.63293549912,1399.84642374261,1287.82821326702,1403.187433549,1529.61846960349,1118.33549131408,1477.14281495106,1263.00785854807,1427.42764530643,1326.3582902142,1550.48312781958,1479.17277275823,1503.54043807282,1568.92797420565,1705.64680100456,1435.45291472882,1119.06160220242,1766.09023215119,1297.98989992748,1575.68505044911,1727.6048529561,1609.32863499347,1148.2077679185,1231.30202570885,1700.79018626391,1679.00723980767,1724.91671888305,1712.88748922425,1583.25861075481,1710.69130167231,1736.64039027922,1365.19050921383
2142.73567354276,1392.59626739518,2108.88832522537,1986.78978838834,2059.78953114635,1881.27132424604,1794.40363336582,1843.9057429656,1606.7477985069,2193.60629894105,2010.43139981405,1429.50860173334,1746.87044962816,1483.68075191813,2068.98356537924,1573.47166181477,2110.15103515337,1874.1173834254,1429.99491080709,1648.98772030129,2153.59515214629,2053.67044986481,1970.8758657565,1622.86071131537,2114.06382713848,1875.99952453744,1576.0519299859,1752.05583170377,1801.27163576829,1952.526196514,1777.3819741015,1563.38351495333,1923.03759760901,2105.49839102236,1845.64213577542,1929.71166361877,2094.39911831117,1500.02159018241,2184.36149017718,1758.12428121755,1858.7940283182,1982.86481947825,1538.68425382231,1448.36902674532,1966.59094695119,1820.24541695265,1467.0480291189,1427.0681043329,2180.06886559155,1723.09685941079,1830.44959796548,1594.73257209509,2070.55661895605,1862.10556396737,1929.37363029674,1828.70950200663,1915.52629734697,1915.2310627099,1410.11900413425,1873.7094759031,1391.75963238623,1985.04422251806,1464.00104449609,1473.29945985804,1703.65138257731,1724.1658053661,1827.71109819854,1971.01932035592,2081.81395082681,1746.51611543829,1602.04904410037,1733.20451066635,1884.27340659404,1388.53327704851,1837.75773647982,1576.67033953056,1762.51164684576,1646.58759835169,1909.83396981016,1819.4757095803,1845.54144701306,1929.54474764451,2089.58192744264,1772.71662130683,1386.67318259133,2159.47166537751,1598.79455844819,1953.38202192433,2125.97292294735,1958.43626208848,1432.87476477621,1536.1135061348,2105.9317079582,2064.99211414702,2123.14479988555,2100.2888732769,1939.46133471052,2093.96918190977,2141.73167274598,1697.8603192063
2315.78655770076,1546.91653757219,2290.39116225157,2168.4827481071,2222.54021154793,2037.16816379874,1968.91567989873,2005.17422383194,1752.55434067995,2388.25755497304,2170.75673597879,1560.0794564198,1898.46324824847,1620.88604284659,2243.59647377785,1724.31413406265,2306.92711569577,2038.24674639746,1565.87230166737,1801.97497508085,2328.11303516592,2222.94692903194,2144.88809171245,1774.50484781163,2283.40796111872,2062.41965320063,1723.58636666614,1908.07818984971,1969.75824323072,2136.38797231544,1952.74720579069,1718.66821380511,2081.38693582152,2294.55909880925,2015.18845555301,2107.66418669766,2285.77697744509,1644.72359902756,2369.70689647172,1909.43680934337,2017.63322381274,2136.42492962663,1678.81575199654,1595.31253390308,2134.65046900019,1980.7099951639,1606.53797675055,1573.51960571066,2368.6636544789,1875.47151294354,2012.39909734598,1743.3521684263,2248.07853259605,2005.48642313726,2091.2451860422,2001.19668211141,2065.72242272283,2102.15934744729,1548.28863916075,2035.79635150959,1547.6094728546,2158.82351681224,1598.17784510111,1614.71533754621,1861.43507419314,1889.31482634948,1994.63174763557,2135.58088417284,2259.78677306936,1928.39720571059,1762.6717247754,1891.97389102925,2051.04611990641,1524.10765218912,2022.92785161594,1741.58788082014,1923.26032072994,1807.54478738039,2078.78300039327,1977.01888592286,2000.59664034788,2096.58480181187,2261.14555719306,1934.79261355594,1518.62654456632,2331.97538971562,1739.40503688541,2141.92854508629,2312.4445025346,2102.58945963113,1581.91989592642,1695.49032663945,2306.68516743052,2244.39306421749,2309.94976483647,2275.04660452502,2097.89020469506,2263.7021349246,2335.41348876542,1867.78450434395
2383.71140005753,1636.0928815858,2369.01027681545,2253.87903435576,2284.03869551627,2100.91894397221,2057.18937715189,2076.59224093084,1820.44591774208,2476.29851003981,2232.31317101741,1621.47783881439,1964.87849185381,1686.36931911901,2317.06245555857,1799.42005900414,2401.74708947221,2111.06539772209,1632.90285870673,1875.20229746968,2397.0052832244,2291.60553283853,2222.97103167669,1847.73614518845,2348.95484807108,2159.00411518377,1795.00466905752,1978.90571071573,2051.18274873991,2225.97736270687,2042.89063193572,1799.11790754932,2145.49265003573,2381.38675744001,2095.31315431849,2192.17752322532,2375.67627796811,1717.32356357577,2448.37495788942,1974.95154526196,2085.68173008729,2192.36989241245,1744.39675394418,1673.22986394408,2206.6599069818,2052.55488737194,1675.37891679587,1652.10985898997,2450.99898081832,1944.00152746091,2106.69214108711,1814.90017266586,2324.53234302421,2057.17074027825,2158.7174888014,2085.39654198597,2121.69531467244,2197.10541098827,1618.88703108187,2106.47544965219,1638.52124454431,2235.89544580434,1661.51815063633,1685.27618264179,1936.78004733913,1971.41609562766,2072.93612066752,2203.66645183111,2336.11664874928,2027.35044239919,1846.71528599779,1966.75046058441,2126.11874605185,1593.12138446737,2120.29917987605,1831.7361731746,1998.5445076221,1889.45252568064,2154.78536284342,2045.81106267143,2065.36776688266,2169.50217809103,2330.30896125625,2010.93371429133,1583.86180907745,2398.44887710784,1802.21851947874,2236.50577839935,2395.41677397562,2150.04876113872,1662.9976113257,1781.91889308457,2406.0045206273,2323.13434799079,2393.42810231131,2347.00378448534,2161.20732359689,2330.71301219313,2425.21101334517,1956.5030465598
2392.4208235168,1684.86898088035,2388.41311137631,2282.81178581899,2289.07857341557,2112.70082359517,2094.01031630905,2096.39467929515,1843.30162422225,2502.16257301932,2238.69993111788,1643.03232350587,1982.65008744016,1710.26815526124,2332.78324318011,1829.88021569228,2436.15942314562,2131.35581721821,1659.67216583876,1901.88002921754,2406.31110143394,2303.32637421488,2245.5475864552,1875.1186507357,2356.25107937275,2201.43280949684,1821.95230848521,2000.60680284184,2081.40433093157,2259.74574555785,2081.93637677767,1834.86557469864,2156.49774743968,2408.47532485549,2123.12999804787,2221.82364028208,2405.91849396661,1747.41755805204,2465.82685627885,1991.60025171648,2101.98987545889,2194.39585087742,1766.92501967881,1709.72404598006,2223.7516882447,2073.38074675136,1702.8429925234,1689.82041970172,2471.94491472424,1964.35257444298,2148.20203942116,1841.46826475878,2342.95714671313,2058.50824393916,2172.63291667017,2117.46951242423,2125.50838226129,2236.9137212459,1649.52598004605,2124.80647938385,1688.99495949451,2257.15973192824,1683.95463905609,1714.18188207177,1963.9615185906,2004.35132542999,2099.5437160095,2217.04306188705,2354.12906077454,2075.59519707921,1884.7969153503,1992.61153133873,2148.21867071269,1622.85409515204,2164.52012115061,1876.30649123462,2024.09261510006,1924.30938435691,2177.06476846974,2063.8437733368,2079.02434427357,2188.41132573285,2341.54537364676,2037.0038786037,1610.115633397,2405.39723752756,1820.60000626557,2274.9286500596,2418.38521615353,2145.07780584731,1702.90878121009,1824.07120840026,2444.74544457061,2343.81606011895,2416.94049282615,2360.51452229732,2171.05994984414,2339.87009019069,2454.08978418716,1996.37992077423
2363.94903696368,1705.0229079706,2369.61977488335,2274.4637722287,2259.09496049923,2091.73275557029,2096.09871070302,2082.91404094711,1836.83805575401,2487.29432741594,2210.7739969959,1638.71180346627,1969.25468978425,1706.96257282849,2311.61547653515,1830.57368631998,2430.22007142016,2117.72499064515,1659.81701981578,1897.91076202181,2378.13563975755,2279.06635471352,2232.05263742053,1872.24084315426,2327.13342605968,2206.87923177514,1819.56522088529,1990.4590960092,2077.64786181296,2256.21414875073,2086.28350838976,1840.33748663608,2134.09182079604,2396.31404476655,2116.47122728101,2215.16395430526,2396.67651903049,1749.15054895457,2443.95732986973,1977.04494118388,2085.26393075338,2163.35126577193,1761.43720868285,1717.98114652155,2205.66937967179,2061.21443261301,1702.90665730264,1699.53522242256,2453.1292493037,1953.59364268965,2153.70267118374,1838.4093174317,2324.05315575351,2029.16967738263,2152.56162182297,2114.79748276419,2097.22176887262,2239.32954373051,1653.38200167925,2109.51753276231,1710.68281660085,2242.27840749688,1679.7576412341,1715.37862350024,1959.40876676363,2004.38223569388,2092.18331252786,2195.73425150987,2334.66302618256,2088.59888804434,1891.58599063457,1986.37394533439,2135.93944814841,1626.3174738561,2172.25718704358,1889.27154049511,2017.04030054052,1927.45640649065,2164.46084154746,2049.31523082149,2060.30580243326,2172.56701121366,2316.20103945089,2030.2087682883,1610.60747867803,2375.13118658776,1810.47092704597,2275.41893884365,2402.31043086485,2108.70247684239,1714.45036519185,1835.66406953611,2442.63618899185,2326.93776107287,2401.38406740774,2336.88813630164,2147.37572380126,2312.69365651437,2442.78339815676,2002.94727518313
2310.87810126877,1703.48574487206,2324.78066237934,2240.00869226008,2206.22560985673,2048.92267665582,2073.23567846922,2046.66138946653,1810.03749299552,2444.21132532604,2160.34353132914,1616.43998951272,1934.65073044274,1684.65517989984,2265.54400816146,1810.09076176685,2395.71568090793,2080.85917865057,1641.14095848084,1872.44542410746,2325.11673362396,2230.79943158235,2193.71466882769,1848.07523200827,2274.03354618545,2185.46661672554,1796.53980293091,1958.36531402986,2049.91224468264,2226.22006180324,2065.54533924018,1823.9199734506,2089.45607255338,2356.84939205282,2085.6700998796,2183.00133860457,2359.74966526335,1730.67086079079,2395.42310116349,1941.33558137124,2046.18268600681,2110.9479080855,1736.50475658246,1705.6564696066,2163.73858139375,2026.39794325357,1683.5844859899,1688.74394249659,2407.10279814002,1921.47947312081,2133.0640710947,1814.54386920715,2279.75690152306,1980.12829165811,2109.66564899203,2087.50049669375,2048.10040676704,2214.79501026749,1638.03693524198,2071.33531921187,1710.45880240326,2202.5983549397,1657.04271333569,1696.88117978382,1932.59686609485,1980.96251729853,2061.10638234401,2151.17060784436,2289.73344828124,2075.51038541035,1875.64173338692,1957.727025583,2099.98926740569,1610.98530260039,2153.3459513129,1878.84029993578,1987.26458188134,1907.81747391349,2127.83386880149,2012.62544328884,2019.86268155327,2133.0272244072,2266.48102419454,2000.47568733998,1592.88745894685,2320.36969098723,1780.86393301632,2248.69260559676,2359.36533384664,2052.58808951328,1705.08278384701,1824.72907854304,2411.32106521858,2284.34986268079,2358.90122921793,2288.34889449715,2101.46059228537,2261.45605940433,2403.41710109855,1985.30341156923
2241.37925974582,1685.0579331698,2261.92813273009,2186.93256236172,2138.27273789046,1991.3263826417,2032.04591457854,1994.53792029081,1768.797866204,2381.29560221835,2095.00266700445,1581.38138998424,1885.32916422043,1648.72974211128,2202.43201440061,1774.16307460487,2340.63351874272,2027.787371704,1608.79659024973,1831.54850976473,2255.47429283107,2166.31883121039,2137.97180580101,1808.57410988348,2204.99577113677,2144.12434258059,1758.63434343938,1910.83574205512,2004.88969118588,2177.07986095488,2026.25802093876,1791.26950923418,2029.82301342639,2298.08229040074,2037.61669006924,2132.57674508695,2303.07867525078,1697.40560409246,2328.5822755793,1891.01080599795,1991.71102927566,2044.64241150549,1697.74234173654,1677.91890396766,2105.38417092089,1975.73133671663,1650.17988312643,1662.51667920362,2342.20057900245,1874.39984153169,2093.02838192713,1775.70961685395,2217.93676809564,1918.31336792466,2051.20993814432,2042.3778823375,1985.31819450643,2170.42732119687,1608.54223949157,2017.28865414258,1693.08785319895,2145.61949167803,1621.11534573373,1664.0116178862,1889.81815781026,1940.44412122661,2013.13185056278,2090.79369069411,2227.25738902911,2042.64746525255,1842.7653920215,1913.0920169222,2047.43747469152,1581.8254840097,2114.53570800545,1850.64570179174,1941.31134555743,1871.40536249731,2074.36220253037,1960.57255346029,1964.60154617294,2077.05811803238,2200.33230895785,1954.39202631136,1561.9315288007,2249.35197433428,1737.64809513432,2202.03991880092,2297.64956650384,1984.03730947602,1679.87990371832,1796.75236296356,2358.7410608319,2223.89577520587,2297.57789490566,2222.89269180799,2040.61348408315,2194.11951536354,2344.13963809072,1949.64007311387
