"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826.308231873833,516.419938946074,807.568980807031,755.22990803472,795.884945746467,722.912468925881,676.751494209955,704.304501079784,611.026178183616,837.383210314139,775.946498096928,543.378769226113,667.737884186009,563.068149175518,793.892986176445,594.466220560313,800.573394362923,715.777903220989,541.004573488494,625.445020103584,830.236372893626,789.992612551275,752.211733898473,615.013208291557,815.85888283699,705.69282212503,597.165587135149,667.762953072562,682.602200426998,739.541380546979,669.104883533237,588.049216436445,739.536372903272,802.375485349638,700.975414955671,732.698222143924,796.482304175572,566.344887091559,838.035926954611,672.667567333164,711.856334350941,767.536576723903,584.937325752695,543.436026326953,753.326193281302,694.615098628853,554.920482914736,534.680259107631,834.576206786935,657.235475647834,688.47815543349,604.556687095898,793.120829220686,720.987783940669,740.4905439705,692.328430263947,740.404155902984,722.149772391865,531.49971988329,716.612943364638,515.34883599713,758.382659561781,556.214489909105,556.631804867139,646.318243467249,651.447530237601,694.623387857969,756.958374350593,797.719639460636,652.870788644484,601.848657802446,658.397320103607,718.806951248852,523.636330416353,690.031545613021,589.054163317255,669.893051212369,620.557922200752,728.640920103694,695.728939932597,708.078006202443,738.000061393263,804.244056838416,673.585006310985,524.600404687534,833.771234484531,610.198904405334,737.623572499601,812.427742839792,761.822603786367,535.892333991531,574.554474688879,796.822164240826,789.805191340687,811.050387915409,807.239691181774,746.519239068668,807.041605710197,815.618619277943,637.974301648831
1751.10098789392,1109.87562672955,1715.95130903073,1609.26813154394,1685.46481163486,1534.15343891122,1446.26770785676,1498.02805732731,1301.51767192541,1781.30370177201,1643.96332746522,1157.21132615842,1419.78911780951,1200.01646619012,1685.64337516792,1269.28328758042,1707.05780330902,1522.4950576161,1154.18462228974,1333.61389888667,1759.61844399746,1675.79468868909,1600.40958079559,1311.7431622891,1728.50554096105,1509.6392378808,1273.67364930825,1421.40514925198,1456.15666382562,1577.97834362526,1430.89599902246,1257.63836097366,1568.97728870744,1708.03312980971,1494.1289635674,1561.93381269643,1696.83120287362,1209.36677300698,1779.34542381535,1429.78232104655,1512.60684543932,1624.38537911973,1245.97217478365,1163.01778022967,1600.58035272833,1477.92756827677,1184.06443015865,1144.82401476298,1773.4557922164,1398.55985077204,1472.85391670698,1289.22612740034,1685.10063222035,1525.72913321366,1572.18086129787,1477.46100085879,1567.82567398837,1543.48611019121,1135.42237162347,1523.48010363685,1108.18188258131,1612.9236423171,1184.86745400526,1188.2543442538,1378.08997108182,1391.17020768155,1480.21427132069,1606.7504307636,1694.63293547566,1399.84642363368,1287.82821324315,1403.18743344086,1529.61846944393,1118.33549131402,1477.14281479735,1263.00785854037,1427.42764518324,1326.35829016917,1550.48312765882,1479.17277261257,1503.54043792162,1568.92797404767,1705.64680101032,1435.45291460097,1119.06160220236,1766.09023236049,1297.9898998946,1575.68505028334,1727.60485301612,1609.3286348619,1148.20776791803,1231.3020257067,1700.79018624281,1679.00723974983,1724.91671893451,1712.88748924717,1583.25861060356,1710.69130169192,1736.6403903652,1365.19050915493
2142.7356398974,1392.59626723963,2108.88829397385,1986.78976816293,2059.7895012927,1881.27131096549,1794.40362984474,1843.90573403648,1606.74779574825,2193.60626499326,2010.43137394332,1429.50860145596,1746.87044697181,1483.6807515761,2068.98353626695,1573.47166027892,2110.1510054937,1874.11737206921,1429.99491055624,1648.98771907266,2153.5951182548,2053.67042134123,1970.87584599847,1622.86070848958,2114.06379444214,1875.9995160312,1576.05192812029,1752.05582912933,1801.27163117368,1952.5261801908,1777.38197170632,1563.38351417211,1923.03758039044,2105.49836082064,1845.64212777225,1929.71164874968,2094.39908923426,1500.02158986775,2184.36145609078,1758.12427783868,1858.79401767141,1982.86479528501,1538.68425330298,1448.36902649304,1966.59092670248,1820.2454099699,1467.04802880484,1427.06810410682,2180.06883167094,1723.09685810193,1830.44959266955,1594.73256964205,2070.55659008468,1862.10555069806,1929.37361297232,1828.70949577794,1915.52627961971,1915.23105060738,1410.11900390372,1873.70946429416,1391.75963223816,1985.04420125016,1464.00104417992,1473.29945955294,1703.65138242116,1724.16580484761,1827.71109138889,1971.01929909499,2081.8139211143,1746.51611147454,1602.04904211767,1733.20450932639,1884.27339462866,1388.53327686015,1837.75773098219,1576.67033873845,1762.51164406438,1646.58759559851,1909.83395560525,1819.47570230196,1845.54143708753,1929.54473111231,2089.58189642962,1772.71661801475,1386.67318239703,2159.47163128449,1598.79455669529,1953.38200622085,2125.97289111615,1958.43623888333,1432.874764548,1536.11350581924,2105.93167910278,2064.9920859884,2123.14476826045,2100.2888418838,1939.46131577569,2093.96915040709,2141.73164066692,1697.86031602799
2315.78657141634,1546.91653764174,2290.3912071845,2168.48276080056,2222.54026146269,2037.16816640663,1968.91567658638,2005.17422326007,1752.55434074794,2388.25757015369,2170.75678671888,1560.07945655721,1898.46324395398,1620.88604300178,2243.59652146353,1724.31413442108,2306.92715884712,2038.24674789876,1565.87230178941,1801.97497124543,2328.11304899333,2222.94697792861,2144.88810301384,1774.50484744221,2283.40797415278,2062.41965359705,1723.58636707744,1908.07818564513,1969.75824025655,2136.38798021706,1952.74720202142,1718.66821401948,2081.38694255757,2294.55914310678,2015.18845474373,2107.66419251165,2285.7770218861,1644.72359916196,2369.70691090791,1909.43680527022,2017.6332243997,2136.42494501626,1678.81575217919,1595.31253402087,2134.65048035904,1980.70999323782,1606.5379768969,1573.51960581709,2368.66366932766,1875.47150838418,2012.39909526066,1743.35216871566,2248.07857976099,2005.4864247915,2091.24519321492,2001.19668024033,2065.72242925773,2102.15935106443,1548.2886392719,2035.79635309318,1547.60947292035,2158.8235301797,1598.17784525124,1614.71533768629,1861.43506970822,1889.31482194723,1994.63174589276,2135.58089653855,2259.78681984063,1928.39720300899,1762.67172494164,1891.97388659897,2051.04612210646,1524.1076522795,2022.92784977761,1741.58788100163,1923.26031671979,1807.54478594727,2078.78300484559,1977.01888404996,2000.59664015249,2096.58480855825,2261.14560449843,1934.79260977657,1518.62654466086,2331.97540327796,1739.40503703565,2141.92855263335,2312.44451663678,2102.58947232172,1581.91989603303,1695.49032675217,2306.68521023046,2244.39311117232,2309.94977884288,2275.04665079101,2097.89021341902,2263.70218219771,2335.41350359276,1867.78450013638
2383.71139823926,1636.09288161832,2369.01024153179,2253.87902279223,2284.03865479464,2100.91893844618,2057.18937213279,2076.59223583059,1820.4459185608,2476.29850610069,2232.313126369,1621.47783886914,1964.87848819999,1686.36931919085,2317.06241604497,1799.42005942685,2401.74705411375,2111.06539188314,1632.90285875692,1875.20229692149,2397.00528142965,2291.60549183682,2222.97102140402,1847.73614631453,2348.95484631011,2159.00410824615,1795.00466958789,1978.90570686323,2051.18274385466,2225.97735311922,2042.89062719341,1799.11790774832,2145.49264297785,2381.38672165602,2095.31314875871,2192.17751491887,2375.67624105964,1717.3235636435,2448.37495517788,1974.95154146777,2085.68172487083,2192.3698820206,1744.39675407146,1673.22986399501,2206.65989719389,2052.55488263489,1675.37891686027,1652.10985903569,2450.9989774404,1944.00152449942,2106.69213526869,1814.90017344722,2324.53230373784,2057.17073601972,2158.71748127885,2085.3965365664,2121.69530841077,2197.10540286429,1618.88703112851,2106.47544393879,1638.52124457527,2235.8954345831,1661.51815070069,1685.27618270479,1936.78004499421,1971.41609270323,2072.9361155128,2203.66644189164,2336.11661051533,2027.35044382894,1846.71528660415,1966.75045729424,2126.11873981786,1593.12138450601,2120.29917381264,1831.73617337362,1998.54450346676,1889.45252704783,2154.7853557174,2045.81105810277,2065.36776211981,2169.50217029559,2330.30892377347,2010.93370995728,1583.86180911687,2398.44887581057,1802.21851885009,2236.50576860661,2395.41676979782,2150.04875296998,1662.99761137171,1781.91889315472,2406.00448484025,2323.13430827708,2393.42809805075,2347.00374822883,2161.20731577766,2330.71297520365,2425.21100836071,1956.50304864027
2392.42084681615,1684.86898091167,2388.41313422281,2282.8118050648,2289.07859478795,2112.70083929876,2094.01032921131,2096.39469421284,1843.30162592248,2502.16259785909,2238.69995115944,1643.03232357161,1982.65009885848,1710.26815535462,2332.78326495299,1829.88021634814,2436.15944630249,2131.35583283491,1659.6721659004,1901.88003513925,2406.31112495606,2303.32639551755,2245.54760519016,1875.11865255588,2356.25110205402,2201.4328254762,1821.95230928279,2000.60681433787,2081.40434433083,2259.74576352148,2081.93638873055,1834.86557502067,2156.49776460868,2408.47534777062,2123.13001306704,2221.82365751392,2405.91851663176,1747.41755814594,2465.82688064517,1991.60026374491,2101.98989064714,2194.39587008657,1766.92501985444,1709.7240460484,2223.75170687522,2073.38076099334,1702.84299260706,1689.82041976142,2471.94493914949,1964.35258409681,2148.20205371571,1841.46826596033,2342.95716856226,2058.50825908635,2172.63293402718,2117.46952683815,2125.50839925853,2236.91373826745,1649.52598010272,2124.80649494951,1688.99495952488,2257.15975115898,1683.95463913706,1714.18188215506,1963.96152635852,2004.35133413618,2099.54373045824,2217.04308069161,2354.12908291626,2075.59520198246,1884.79691643051,1992.6115412746,2148.21868660405,1622.85409519721,2164.52013568034,1876.30649160354,2024.0926269579,1924.30938687303,2177.0647850677,2063.84378755017,2079.02435911759,2188.4113430237,2341.54539586278,2037.00389092391,1610.11563344234,2405.39726106529,1820.60000879463,2274.92866805881,2418.3852394891,2145.07782432275,1702.90878127179,1824.07120851655,2444.74546766933,2343.81608184333,2416.94051610567,2360.51454482035,2171.05996760406,2339.87011247244,2454.0898080307,1996.37992558275
2363.9490408558,1705.02290797959,2369.61978961884,2274.46370093681,2259.09496850403,2091.73269376143,2096.09870926888,2082.91403991989,1836.8380556774,2487.2943380378,2210.77401003512,1638.71180346933,1969.25468848681,1706.96257283044,2311.61549227674,1830.57368631152,2430.22010107073,2117.72498996392,1659.81701981813,1897.91076129388,2378.13564314863,2279.0663684332,2232.05257908526,1872.24084311051,2327.13343132321,2206.87923028586,1819.56522087555,1990.4590946911,2077.64786037594,2256.21414796695,2086.2835070362,1840.33748663211,2134.09177792136,2396.31406722887,2116.47122598513,2215.16395362371,2396.67654629096,1749.15054895542,2443.95733554712,1977.04493987437,2085.26393009806,2163.35127740627,1761.43720868331,1717.98114652282,2205.66933534119,2061.21443136609,1702.90665730445,1699.53522242413,2453.12925776423,1953.59364147842,2153.70266966143,1838.40931741108,2324.05317381091,2029.16969643664,2152.56157286355,2114.79748131974,2097.22178697452,2239.32954260934,1653.3820016817,2109.51753217644,1710.68281738318,2242.27835878748,1679.75764123651,1715.37862350173,1959.40876572284,2004.38223458752,2092.1833111736,2195.73427474065,2334.66304262593,2088.59888784201,1891.58599061023,1986.37394410838,2135.93944748809,1626.31747385868,2172.25718550151,1889.27154048822,2017.04029919246,1927.45640641621,2164.46084103629,2049.31522965754,2060.30580174448,2172.56694615574,2316.20104945133,2030.20876691367,1610.60747868093,2375.13118834177,1810.47092664178,2275.41893798222,2402.31044683276,2108.70248488913,1714.45036519319,1835.66406953514,2442.63622420546,2326.93778198748,2401.3840842094,2336.88814707038,2147.37574609908,2312.69366462581,2442.78341765841,2002.94727500273
2310.87805298311,1703.48574483672,2324.78062368805,2240.00875119298,2206.22587431741,2048.92287964,2073.23584422823,2046.66156172713,1810.03750486745,2444.21128589952,2160.3438093188,1616.43998926525,1934.65085544357,1684.65518065799,2265.54431516639,1810.09076543137,2395.71601936383,2080.85938822298,1641.14095894413,1872.44546906235,2325.11668469159,2230.79946009026,2193.71496688643,1848.07524375058,2274.03376474205,2185.46676222078,1796.53981062546,1958.36540364739,2049.91236731388,2226.22017154302,2065.54546588814,1823.91997651573,2089.45630937979,2356.84972931047,2085.67030486125,2183.00150631029,2359.75001137516,1730.67086135003,2395.42305764512,1941.33565046179,2046.1829026194,2110.94806152362,1736.50475763467,1705.65647000217,2163.73891170412,2026.39806463974,1683.58448699356,1688.74394312339,2407.10275820242,1921.47954050068,2133.06426032961,1814.54388070079,2279.75686339675,1980.128454129,2109.66586274788,2087.50066466098,2048.10058544641,2214.79513550026,1638.03693562741,2071.33550055534,1710.45880159531,2202.59851986157,1657.04271387956,1696.88118025871,1932.59693496836,1980.96260261158,2061.1064813638,2151.17084021717,2289.73341016666,2075.5104481212,1875.64174664645,1957.72711807449,2099.98947427383,1610.9853030134,2153.34614874981,1878.84030383291,1987.26468692817,1907.8174996349,2127.83407734823,2012.62563425936,2019.86281396253,2133.02754131608,2266.48098343698,2000.47580700821,1592.88745878644,2320.36963791812,1780.8639476517,2248.69265513344,2359.36529526382,2052.58827886828,1705.08278450011,1824.72907974525,2411.32101460036,2284.35015072426,2358.90119122349,2288.34894386958,2101.46073834661,2261.45622951942,2403.41706158642,1985.30345383368
2241.37930885441,1685.05793328596,2261.92815371357,2186.93257416443,2138.27257312076,1991.32627889614,2032.04582564412,1994.53782569497,1768.79785639325,2381.29562676338,2095.00248537599,1581.38139037122,1885.32909689686,1648.72974155324,2202.4318390751,1774.16307107855,2340.633329301,2027.78725958219,1608.796589884,1831.54848004251,2255.47434300785,2166.31881837096,2137.97167253064,1808.5741002246,2204.99564626564,2144.12426410965,1758.63433882565,1910.83568813633,2004.88962433734,2177.07981010949,2026.25795270931,1791.26950746018,2029.82288526073,2298.08210017675,2037.61658309976,2132.57664610037,2303.07848326114,1697.40560356277,2328.58231192217,1891.01074937228,1991.7109138622,2044.64230101532,1697.74234052981,1677.91890362317,2105.38401842329,1975.73126224693,1650.1798825414,1662.51667883457,2342.2006077077,1874.39979690896,2093.02828083341,1775.70960996965,2217.93678601119,1918.31324409566,2051.2098189651,2042.37779374744,1985.31805843941,2170.42726593231,1608.54223917625,2017.28855174371,1693.0878533301,2145.6194350228,1621.11534516286,1664.01161736695,1889.81811898687,1940.44407459359,2013.13178397556,2090.79354213003,2227.25740851706,2042.64743958602,1842.76538461279,1913.09196605622,2047.43736923931,1581.82548373308,2114.53560815416,1850.64569958621,1941.31128622357,1871.40534809611,2074.36208854796,1960.57245311463,1964.60145413141,2077.05798364509,2200.33234004251,1954.39196151703,1561.93152904019,2249.35203390695,1737.64808063589,2202.03989682156,2297.64958553138,1984.03717936541,1679.87990333635,1796.7523622771,2358.74107483517,2223.89560055059,2297.57791258939,2222.89267070904,2040.61339581722,2194.11942303354,2344.13965413437,1949.64004944032
